sample	unit	run_accession	platform	library_layout	fq1	fq2
C136	1	ERR9791698	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791698_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791698_2.fastq.gz
C131	1	ERR9791693	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791693_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791693_2.fastq.gz
C139	1	ERR9791701	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791701_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791701_2.fastq.gz
C140	1	ERR9791702	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791702_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791702_2.fastq.gz
C134	1	ERR9791696	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791696_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791696_2.fastq.gz
C146	1	ERR9791708	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791708_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791708_2.fastq.gz
C142	1	ERR9791704	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791704_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791704_2.fastq.gz
C141	1	ERR9791703	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791703_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791703_2.fastq.gz
C151	1	ERR9791713	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791713_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791713_2.fastq.gz
C143	1	ERR9791705	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791705_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791705_2.fastq.gz
C148	1	ERR9791710	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791710_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791710_2.fastq.gz
C155	1	ERR9791717	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791717_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791717_2.fastq.gz
C144	1	ERR9791706	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791706_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791706_2.fastq.gz
C150	1	ERR9791712	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791712_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791712_2.fastq.gz
C165	1	ERR9791727	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791727_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791727_2.fastq.gz
C145	1	ERR9791707	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791707_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791707_2.fastq.gz
C154	1	ERR9791716	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791716_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791716_2.fastq.gz
C147	1	ERR9791709	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791709_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791709_2.fastq.gz
C166	1	ERR9791728	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791728_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791728_2.fastq.gz
C156	1	ERR9791718	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791718_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791718_2.fastq.gz
C149	1	ERR9791711	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791711_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791711_2.fastq.gz
C159	1	ERR9791721	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791721_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791721_2.fastq.gz
C169	1	ERR9791731	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791731_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791731_2.fastq.gz
C161	1	ERR9791723	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791723_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791723_2.fastq.gz
C152	1	ERR9791714	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791714_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791714_2.fastq.gz
C174	1	ERR9791736	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791736_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791736_2.fastq.gz
C163	1	ERR9791725	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791725_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791725_2.fastq.gz
C153	1	ERR9791715	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791715_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791715_2.fastq.gz
C178	1	ERR9791740	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791740_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791740_2.fastq.gz
C168	1	ERR9791730	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791730_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791730_2.fastq.gz
C157	1	ERR9791719	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791719_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791719_2.fastq.gz
C180	1	ERR9791742	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791742_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791742_2.fastq.gz
C170	1	ERR9791732	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791732_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791732_2.fastq.gz
C158	1	ERR9791720	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791720_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791720_2.fastq.gz
C173	1	ERR9791735	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791735_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791735_2.fastq.gz
C181	1	ERR9791743	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791743_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791743_2.fastq.gz
C160	1	ERR9791722	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791722_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791722_2.fastq.gz
C185	1	ERR9791747	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791747_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791747_2.fastq.gz
C175	1	ERR9791737	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791737_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791737_2.fastq.gz
C162	1	ERR9791724	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791724_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791724_2.fastq.gz
C189	1	ERR9791751	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791751_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791751_2.fastq.gz
C176	1	ERR9791738	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791738_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791738_2.fastq.gz
C164	1	ERR9791726	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791726_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791726_2.fastq.gz
C179	1	ERR9791741	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791741_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791741_2.fastq.gz
C220	1	ERR9791754	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791754_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791754_2.fastq.gz
C167	1	ERR9791729	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791729_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791729_2.fastq.gz
C182	1	ERR9791744	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791744_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791744_2.fastq.gz
C221	1	ERR9791755	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791755_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791755_2.fastq.gz
C171	1	ERR9791733	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791733_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791733_2.fastq.gz
C183	1	ERR9791745	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791745_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791745_2.fastq.gz
C222	1	ERR9791756	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791756_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791756_2.fastq.gz
C172	1	ERR9791734	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791734_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791734_2.fastq.gz
C186	1	ERR9791748	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791748_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791748_2.fastq.gz
C177	1	ERR9791739	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791739_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791739_2.fastq.gz
C223	1	ERR9791757	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791757_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791757_2.fastq.gz
C190	1	ERR9791752	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791752_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791752_2.fastq.gz
C184	1	ERR9791746	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791746_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791746_2.fastq.gz
C246	1	ERR9791758	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791758_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791758_2.fastq.gz
C342	1	ERR9791762	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791762_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791762_2.fastq.gz
C187	1	ERR9791749	ILLUMINA	PAIRED	/groups/group-meyer/data/reads/PRJEB27135/ERR9791749_1.fastq.gz	/groups/group-meyer/data/reads/PRJEB27135/ERR9791749_2.fastq.gz
